reference_phase,image_index,reaction_coordinate_normalized,relative_enthalpy_eV_per_GaN,symmetric_strain_xx,symmetric_strain_yy,symmetric_strain_zz,three_group_atomic_residual_sqrt_amu_A,group1_Q_norm_d0p01_sqrt_amu_A,group1_Q_norm_d0p02_sqrt_amu_A,group2_Q_norm_d0p01_sqrt_amu_A,group2_Q_norm_d0p02_sqrt_amu_A,group3_Q_norm_d0p01_sqrt_amu_A,group3_Q_norm_d0p02_sqrt_amu_A
B4,0,0.0,0.0,0.0,0.0,0.0,1.0130725790163676e-14,1.167816343851132e-13,1.1679572716350228e-13,1.1113386812896861e-13,1.111190572823311e-13,5.425759036864979e-14,5.425759052686137e-14
B4,1,0.033327526828522046,-4.2753977189669e-05,-0.0011533165142051383,3.970224048654991e-05,0.0011232147836843787,2.736424884414319e-05,0.005502775393746167,0.005502500408929669,0.002168002166139664,0.0021686999968030685,0.010977849599384894,0.010977849631395567
B4,2,0.06881594103622003,-3.5340667547956173e-07,-0.0017023176130678275,0.0005716317099691004,0.001140544342132177,4.622635111877803e-05,0.01023677725311574,0.010237367570156091,0.004655504462940407,0.004654206223179501,0.011054214870521287,0.011054214902754638
B4,3,0.10744076635160918,1.1771949255390268e-05,-0.001932273242970406,0.0008266787085211558,0.0011158451667665492,2.0978121554949484e-05,0.011784931167261054,0.011788700099578013,0.02972009051489743,0.02971859574059627,0.010703541532865436,0.010703541564076255
B4,4,0.15007012159940505,9.55250338670055e-05,-0.001527807591429231,0.00032109126529089593,0.0012045033504612945,0.00010096008222495945,0.006091757131501169,0.006103754760866152,0.09460587007515234,0.09460509677308616,0.011764683198531526,0.011764683232836592
B4,5,0.1988819768082366,0.0023518210637591963,0.006754728565034229,-0.007487171249691449,0.0005453480723967008,1.816821905847312e-05,0.07425175985062034,0.0742151861457434,0.2883916856857905,0.2884010997880532,0.008412845419972406,0.008412845444503873
B4,6,0.23982615053967604,0.02234254387617085,0.0301036538046191,-0.02792732779465168,-0.0032677492531659746,2.7188311373143843e-05,0.2991228909396764,0.2990610804133628,0.4873785486063926,0.48741647869945426,0.018147346959265516,0.018147347012181552
B4,7,0.27839323006414896,0.05732077878439412,0.052990486261333736,-0.047482158686521836,-0.008149476419570645,6.0262351783243174e-05,0.532761900922685,0.5326973195697507,0.5092126662541742,0.5092802256829153,0.05806322928579061,0.05806322945509851
B4,8,0.31526849881742286,0.10375616480665961,0.07561364402789383,-0.06684818699658679,-0.013750774303723179,4.2641361197837475e-05,0.7826687006544258,0.7826161832996862,0.41406799485989276,0.41416724760513474,0.10967476636287507,0.10967476668267863
B4,9,0.34898545858205754,0.15423725689375978,0.09629507512854452,-0.08500344907889645,-0.0193498083638185,5.520193763664328e-05,1.033591803216607,1.0335595743123982,0.2540705895012225,0.2542016649694354,0.16576813712692634,0.16576813761029432
B4,10,0.37981232550254335,0.20289755533927778,0.11460882825193508,-0.10164404154647322,-0.024625285435223354,4.592412825733574e-05,1.2785825672788245,1.2785752772931533,0.05740300129384148,0.05756514745566341,0.22242097377038805,0.2224209744189518
B4,11,0.4087672647243811,0.24714823949009102,0.13112279949776484,-0.11722510828977517,-0.029625086920714194,5.713783457343223e-05,1.5214180718662391,1.521438978324695,0.16495117343914595,0.1647582297017426,0.27976247257752107,0.27976247339328875
B4,12,0.43671334388591365,0.2851252529991024,0.14640126441255807,-0.13215873092595232,-0.03443637378636455,4.900166097855761e-05,1.766939745584169,1.7669917173729623,0.40992768489725917,0.4097036027491518,0.338700720554172,0.33870072154179964
B4,13,0.4641961804102393,0.3146368603512242,0.1608161571022193,-0.1466891103247947,-0.03913044432962043,5.565468764967368e-05,2.018310387640214,2.0183960413185438,0.6755370473163944,0.6752810848402225,0.4000642473901792,0.4000642485567387
B4,14,0.4915019318775039,0.3332065390744807,0.17459048716620207,-0.16093392596020129,-0.04373601503227964,0.0001417420205418514,2.2768158909477134,2.2769376005672193,0.9598670857072497,0.9595783379273262,0.46434581766420485,0.46434581901820493
B4,15,0.518647576020847,0.33849086614368673,0.18781996631127806,-0.174866498313194,-0.04823975806316694,0.00011826547748914671,2.5414004092783236,2.5415601406832913,1.2596988760448964,1.2593765719111796,0.5315275469407068,0.5315275484906044
B4,16,0.5465548777059466,0.3287142627335262,0.20096736710010488,-0.18880780169431532,-0.052802156047547566,0.00012444617372475773,2.820906632832731,2.821108450337365,1.591580144793935,1.591222391715602,0.6049591363429101,0.6049591381069293
B4,17,0.5748528757008345,0.30364185337229976,0.21430961028323492,-0.20243342212805726,-0.057566214528322224,0.00011608471097090733,3.106579358648,3.106825655164255,1.9423307482756047,1.9419367640806227,0.6850057889235186,0.6850057909209483
B4,18,0.6039640319247201,0.26555028418665927,0.22843674899962352,-0.21573044266827135,-0.0627325484067639,0.00012472686722422014,3.3975274198437737,3.397821454065367,2.3187776205290502,2.318346736006029,0.7748447523983234,0.7748447546577175
B4,19,0.6340303244597517,0.22094903691701084,0.24424377566355693,-0.22837835699926612,-0.06861136517788935,0.00011288183128483179,3.6818780489188137,3.682223233134269,2.722131157244865,2.721664208847177,0.8777219178865282,0.8777219204459052
B4,20,0.6650669313383811,0.17999006227294068,0.26322287367558417,-0.23888667814302633,-0.07721950839803904,0.0001673302165927839,3.9080821992272456,3.9084788911564328,3.1283017526535635,3.127806114348658,1.0183099761638217,1.018309979133144
B4,21,0.6988260101172257,0.14675715480125273,0.28279646222849064,-0.24278747897228037,-0.09420594861439868,0.0001833720487723859,4.008994127094496,4.009429216932476,3.431089028110999,3.4305805899745487,1.278406738337189,1.2784067420649365
B4,22,0.7383977854653129,0.10970843665292662,0.2983479276190504,-0.23990570699254765,-0.11835046515076175,0.00021039938297818384,4.046820534763949,4.047276697699328,3.5972601349520965,3.596746898429585,1.678007785699546,1.6780077905925033
B4,23,0.7842667233272629,0.05450530333526782,0.31262216167752266,-0.2342562766979126,-0.14527390383202854,0.00026935410591720613,4.069806026061086,4.070275625937532,3.7032165499980243,3.702700397661321,2.195078213348978,2.1950782197496785
B4,24,0.8384578182718875,-0.0012854465115035296,0.33191844794557346,-0.22762176023144265,-0.17243843023850047,0.00034808521938028037,4.092920814353387,4.09340573577981,3.8240337705397125,3.8235146858721976,2.8151065652770884,2.8151065734857506
B4,25,0.8878515857027016,-0.004547453011544356,0.34032415351039735,-0.22681119258535876,-0.17813936699721067,0.000400389119512028,4.100019350714938,4.1005160521918205,3.9169240190488135,3.9164040334158194,2.9496547803741544,2.94965478897515
B4,26,0.931264516587196,-0.004584547636166114,0.3396516602396229,-0.22666432582362972,-0.1780081241513617,0.0004303600350005141,4.094840620360302,4.095335353157789,3.901399968340401,3.900880639585792,2.949860470128133,2.9498604787297285
B4,27,0.9674841605791971,-0.004567114064208511,0.3394775314207745,-0.22668626617243104,-0.17789373080984805,0.0004017828623312937,4.095975042382298,4.096469518629756,3.8993770540105817,3.8988575814076936,2.9473749282530326,2.94737493684738
B4,28,1.0,-0.004596254456862958,0.33935803994513436,-0.22672127509638695,-0.1778449034632833,0.00035963835297814217,4.099734100586182,4.1002288414282555,3.901463713000246,3.9009437636662785,2.949054493759921,2.9490545023591657
B1,0,0.0,0.0,0.0,0.0,0.0,0.001386060113731269,3.413123520201684,3.413478518025028,2.4245798038536988,2.424579939695004,2.7391223105860423,2.7386799016105954
B1,1,0.033327526828522046,-4.2753977189669e-05,-0.0011533165142051383,3.970224048654991e-05,0.0011232147836843787,0.0013913826534743537,3.4120300955414717,3.412385668972384,2.4336052974431186,2.4336054337900928,2.743563202756054,2.743120935465607
B1,2,0.06881594103622003,-3.5340667547956173e-07,-0.0017023176130678275,0.0005716317099691004,0.001140544342132177,0.0013917145399241183,3.4177480229447106,3.418103975259877,2.4336680815301888,2.4336682178806814,2.74648676450443,2.7460437560703803
B1,3,0.10744076635160918,1.1771949255390268e-05,-0.001932273242970406,0.0008266787085211558,0.0011158451667665492,0.0013911964461210942,3.4371162718166732,3.4374720423905725,2.4333797737033827,2.433379910037722,2.745085838251941,2.7446403194483433
B1,4,0.15007012159940505,9.55250338670055e-05,-0.001527807591429231,0.00032109126529089593,0.0012045033504612945,0.0013940364148695128,3.486254287702987,3.4866086242079035,2.4342521965958883,2.4342523329791064,2.7340248051849714,2.733572917537278
B1,5,0.1988819768082366,0.0023518210637591963,0.006754728565034229,-0.007487171249691449,0.0005453480723967008,0.0013900875714459653,3.62646982468286,3.626813586684013,2.431496466513286,2.4314966027421097,2.6524488279900247,2.651978767238763
B1,6,0.23982615053967604,0.02234254387617085,0.0301036538046191,-0.02792732779465168,-0.0032677492531659746,0.00137770597436887,3.755751934838418,3.7560706968989357,2.4096598723894984,2.409660007394889,2.4595761212957874,2.459089305492604
B1,7,0.27839323006414896,0.05732077878439412,0.052990486261333736,-0.047482158686521836,-0.008149476419570645,0.0013595804309024192,3.748366601440258,3.748661864045932,2.376842831420376,2.376842964587135,2.2782711982498536,2.2777853412065188
B1,8,0.31526849881742286,0.10375616480665961,0.07561364402789383,-0.06684818699658679,-0.013750774303723179,0.0013349240018014517,3.6496543930041416,3.649926106183177,2.334410149790476,2.3344102805798697,2.0965748111373883,2.0961017500285446
B1,9,0.34898545858205754,0.15423725689375978,0.09629507512854452,-0.08500344907889645,-0.0193498083638185,0.0013087643754444772,3.5011368878984626,3.5013858188303977,2.2882927063277085,2.288292834533292,1.9207941872474725,1.9203403774488514
B1,10,0.37981232550254335,0.20289755533927778,0.11460882825193508,-0.10164404154647322,-0.024625285435223354,0.0012818839348472772,3.3251292924542546,3.325356521266023,2.241715295212585,2.241715420808588,1.7533452437908434,1.7529142483118918
B1,11,0.4087672647243811,0.24714823949009102,0.13112279949776484,-0.11722510828977517,-0.029625086920714194,0.001255109406113875,3.129659069117435,3.129865153733648,2.1945716970781137,2.1945718200328153,1.5901995734297056,1.5897939148483622
B1,12,0.43671334388591365,0.2851252529991024,0.14640126441255807,-0.13215873092595232,-0.03443637378636455,0.0012270550080748003,2.9165747582845163,2.916759734715975,2.1461153236807835,2.146115443920632,1.4273305943202466,1.4269525556529796
B1,13,0.4641961804102393,0.3146368603512242,0.1608161571022193,-0.1466891103247947,-0.03913044432962043,0.0011982171704829781,2.687074528228085,2.6872380916956744,2.095664995219703,2.0956651126329833,1.262109100707513,1.261760809694414
B1,14,0.4915019318775039,0.3332065390744807,0.17459048716620207,-0.16093392596020129,-0.04373601503227964,0.001172200275821889,2.4424910487050475,2.4426327411062636,2.042815582848319,2.0428156973006186,1.0933522488797984,1.0930356605392615
B1,15,0.518647576020847,0.33849086614368673,0.18781996631127806,-0.174866498313194,-0.04823975806316694,0.0011388687483157764,2.1854001594577652,2.185519584477498,1.9875817903441673,1.987581901701898,0.9215369117022213,0.921253647185724
B1,16,0.5465548777059466,0.3287142627335262,0.20096736710010488,-0.18880780169431532,-0.052802156047547566,0.0011045750053743756,1.9022075717202405,1.9023036762161465,1.9272096442864446,1.9272097522617213,0.7415946141403122,0.7413480566415955
B1,17,0.5748528757008345,0.30364185337229976,0.21430961028323492,-0.20243342212805726,-0.057566214528322224,0.0010660460242447997,1.603917770455439,1.603990194501322,1.8613988911709303,1.8613989954590444,0.5588744133780568,0.5586665197190798
B1,18,0.6039640319247201,0.26555028418665927,0.22843674899962352,-0.21573044266827135,-0.0627325484067639,0.0010240441018764474,1.2853908761784576,1.2854394397533595,1.7875373410025426,1.7875374411524347,0.37476399232004737,0.3745973855074996
B1,19,0.6340303244597517,0.22094903691701084,0.24424377566355693,-0.22837835699926612,-0.06861136517788935,0.0009739458626077137,0.9469248943696615,0.9469506129678711,1.7029563682710434,1.7029564636821393,0.19848708328440853,0.198364347622049
B1,20,0.6650669313383811,0.17999006227294068,0.26322287367558417,-0.23888667814302633,-0.07721950839803904,0.0009116126294534361,0.6123023798749981,0.6123110668503423,1.5873711976736924,1.5873712866089276,0.06706196958496585,0.06698260653183179
