image_index,energy_eV_per_cell,volume_A3,enthalpy_eV_per_cell,relative_enthalpy_eV_per_formula_unit
0,-4601.642163625200,39.739421814473,-4590.307011474405,0.000000000000
1,-4601.640472645000,39.734454519264,-4590.306737350425,0.000137061990
2,-4601.641763896700,39.738129277159,-4590.306980425328,0.000015524538
3,-4601.640520794100,39.735086233228,-4590.306605311350,0.000203081528
4,-4601.640244887800,39.734133522140,-4590.306601153471,0.000205160467
5,-4601.640051579200,39.733848057624,-4590.306489269904,0.000261102251
6,-4601.641081105100,39.738235983148,-4590.306267197236,0.000372138585
7,-4601.638830830000,39.733995084177,-4590.305226583296,0.000892445555
8,-4601.609582699000,39.691421360399,-4590.288122052143,0.009444711131
9,-4601.455732525600,39.488161274041,-4590.192249169299,0.057381152553
10,-4601.202744676700,39.111944695914,-4590.046572196098,0.130219639153
11,-4600.963425525700,38.708163949606,-4589.922426240529,0.192292616938
12,-4600.763290708700,38.323134921571,-4589.832115935713,0.237447769346
13,-4600.571337860000,37.896576181546,-4589.761833408288,0.272589033058
14,-4600.403293740800,37.438943300132,-4589.724323104207,0.291344185099
15,-4600.266733812500,36.970076106420,-4589.721501432192,0.292755021107
16,-4600.174552547700,36.510292258708,-4589.760467517613,0.273271978396
17,-4600.115583458100,35.980832914820,-4589.852519805441,0.227245834482
18,-4600.095976599400,35.382475539531,-4590.003586589683,0.151712442361
19,-4600.062733268800,34.723978448469,-4590.158170972149,0.074420251128
20,-4600.022057474100,34.057455960206,-4590.307612030474,-0.000300278035
21,-4600.039159308300,33.714744693300,-4590.422467787022,-0.057728156308
22,-4600.046389072600,33.757526294825,-4590.417494657057,-0.055241591326
23,-4600.050128999700,33.748804080113,-4590.423722482227,-0.058355503911
24,-4600.045023900600,33.732665716134,-4590.423220641122,-0.058104583359
25,-4600.045153757200,33.733734816014,-4590.423045550914,-0.058017038255
26,-4600.043510515300,33.730053646399,-4590.422452314671,-0.057720420133
27,-4600.042826418600,33.731406509992,-4590.421382331263,-0.057185428429
28,-4600.044772889900,33.728949103758,-4590.424029745664,-0.058509135629
